文件绝对路径,求解结果(kissat),求解结果(neurobranch),求解总时间(kissat),求解总时间(neurobranch),decision时间(kissat),decision时间(neurobranch),剩余时间(kissat),剩余时间(neurobranch),decision次数(kissat),decision次数(neurobranch),conflict次数(kissat),conflict次数(neurobranch)
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_256.cnf,SAT,SAT,10.98,539515.36,0.05,539498.16,10.93,17.20,[GREEN]1652,[GREEN]1601,[GREEN]1049,[GREEN]1003
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_258.cnf,SAT,SAT,11.08,457727.90,0.07,457710.48,11.02,17.42,[GREEN]1587,[GREEN]1360,[GREEN]1318,[GREEN]1109
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_267.cnf,SAT,SAT,11.49,468122.92,0.04,468105.96,11.44,16.96,[GREEN]1468,[GREEN]1388,[GREEN]1093,[GREEN]1030
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_329.cnf,SAT,SAT,12.44,507850.35,0.07,507832.88,12.37,17.47,[GREEN]1932,[GREEN]1500,[GREEN]1449,[GREEN]1061
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_337.cnf,SAT,SAT,10.52,432807.74,0.04,432791.57,10.48,16.18,[GREEN]1402,[GREEN]1282,[GREEN]1133,[GREEN]1023
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_471.cnf,SAT,SAT,15.14,514868.25,0.08,514849.18,15.06,19.07,[GREEN]2135,[GREEN]1501,[GREEN]1819,[GREEN]1269
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_600.cnf,SAT,SAT,12.97,513053.62,0.07,513029.79,12.90,23.83,[GREEN]1784,[GREEN]1519,[GREEN]1484,[GREEN]1235
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_645.cnf,SAT,SAT,10.96,425470.88,0.04,425454.48,10.92,16.41,[GREEN]1268,[GREEN]1264,[YELLOW]1036,[YELLOW]1041
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_672.cnf,SAT,SAT,12.18,514831.23,0.06,514813.73,12.12,17.50,[GREEN]1604,[GREEN]1503,[GREEN]1403,[GREEN]1293
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b50/CBS_k3_n100_m403_b50_700.cnf,SAT,SAT,10.96,444495.70,0.04,444479.67,10.92,16.03,[GREEN]1330,[GREEN]1302,[GREEN]1053,[GREEN]1023
