文件绝对路径,求解结果(kissat),求解结果(neurobranch),求解总时间(kissat),求解总时间(neurobranch),decision时间(kissat),decision时间(neurobranch),剩余时间(kissat),剩余时间(neurobranch),decision次数(kissat),decision次数(neurobranch),conflict次数(kissat),conflict次数(neurobranch)
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_61.cnf,SAT,SAT,10.09,165251.54,0.07,165238.45,10.02,13.09,1970,1502,1580,1174
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_76.cnf,SAT,SAT,11.19,201253.03,0.09,201240.67,11.11,12.36,2518,1618,1972,1178
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b30/CBS_k3_n100_m423_b30_448.cnf,SAT,SAT,13.12,136492.56,0.05,136476.22,13.07,16.34,1446,1246,1184,1007
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b30/CBS_k3_n100_m423_b30_591.cnf,SAT,SAT,12.21,188180.84,0.05,188163.06,12.16,17.77,1555,1718,1211,1321
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b30/CBS_k3_n100_m423_b30_669.cnf,SAT,SAT,11.79,170851.63,0.05,170835.02,11.75,16.61,1455,1550,1250,1311
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b30/CBS_k3_n100_m423_b30_793.cnf,SAT,SAT,12.37,161010.15,0.05,160992.88,12.32,17.27,1455,1461,1244,1228
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_138.cnf,SAT,SAT,13.34,179896.19,0.04,179877.57,13.29,18.62,1399,1630,1182,1374
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_154.cnf,SAT,SAT,12.75,160954.80,0.05,160938.18,12.70,16.62,1485,1451,1252,1208
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_317.cnf,SAT,SAT,12.35,140202.42,0.03,140185.58,12.32,16.83,1150,1275,1018,1104
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_423.cnf,SAT,SAT,12.56,165978.04,0.05,165960.43,12.51,17.61,1479,1504,1170,1181
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_437.cnf,SAT,SAT,12.38,182165.09,0.04,182146.74,12.35,18.35,1221,1655,1001,1326
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_461.cnf,SAT,SAT,12.82,139402.42,0.05,139386.78,12.77,15.65,1458,1262,1184,1012
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_522.cnf,SAT,SAT,12.37,152760.75,0.05,152744.75,12.32,16.00,1582,1386,1364,1169
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_540.cnf,SAT,SAT,12.49,146996.47,0.04,146980.54,12.45,15.93,1335,1323,1069,1046
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_584.cnf,SAT,SAT,12.97,166730.82,0.04,166712.63,12.93,18.19,1383,1514,1152,1268
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_624.cnf,SAT,SAT,11.16,134687.02,0.04,134672.72,11.12,14.30,1250,1225,1070,1040
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_653.cnf,SAT,SAT,15.61,134904.80,0.04,134886.48,15.56,18.32,1196,1224,1049,1068
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_662.cnf,SAT,SAT,12.06,225596.67,0.06,225579.54,12.00,17.13,2157,2045,1318,1206
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_745.cnf,SAT,SAT,11.87,169092.84,0.04,169076.53,11.83,16.30,1448,1522,1069,1109
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_76.cnf,SAT,SAT,14.15,150143.00,0.04,150124.90,14.11,18.09,1205,1360,1018,1168
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_791.cnf,SAT,SAT,12.74,160381.99,0.05,160364.95,12.69,17.04,1511,1456,1331,1250
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_833.cnf,SAT,SAT,12.22,149021.92,0.04,149005.94,12.18,15.98,1300,1340,1025,1028
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_857.cnf,SAT,SAT,12.30,152551.48,0.04,152535.28,12.26,16.20,1310,1385,1080,1138
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_921.cnf,SAT,SAT,13.43,187159.85,0.06,187141.41,13.37,18.44,1792,1697,1547,1401
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m423_b70/CBS_k3_n100_m423_b70_935.cnf,SAT,SAT,11.69,160821.61,0.05,160805.92,11.64,15.69,1527,1453,1195,1112
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b50/CBS_k3_n100_m435_b50_302.cnf,SAT,SAT,14.16,206549.12,0.05,206530.32,14.10,18.79,1955,1885,1156,1080
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b50/CBS_k3_n100_m435_b50_310.cnf,SAT,SAT,13.05,164356.82,0.06,164340.62,12.99,16.20,1903,1505,1431,1074
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b50/CBS_k3_n100_m435_b50_528.cnf,SAT,SAT,12.34,141517.72,0.04,141501.82,12.29,15.90,1331,1290,1070,1028
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b50/CBS_k3_n100_m435_b50_558.cnf,SAT,SAT,14.45,244635.74,0.05,244613.68,14.40,22.07,1770,2251,1100,1461
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b50/CBS_k3_n100_m435_b50_794.cnf,SAT,SAT,11.97,160061.63,0.04,160045.03,11.93,16.60,1344,1469,1013,1110
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b70/CBS_k3_n100_m435_b70_442.cnf,SAT,SAT,11.96,173221.74,0.04,173204.97,11.92,16.78,1508,1586,1027,1075
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b70/CBS_k3_n100_m435_b70_497.cnf,SAT,SAT,11.44,165540.50,0.04,165524.50,11.40,16.00,1398,1518,1068,1138
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b70/CBS_k3_n100_m435_b70_991.cnf,SAT,SAT,13.40,172554.17,0.04,172535.05,13.36,19.12,1343,1579,1143,1332
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_145.cnf,SAT,SAT,13.32,156243.27,0.05,156226.05,13.27,17.22,1510,1415,1145,1057
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_147.cnf,SAT,SAT,13.56,165635.93,0.06,165618.50,13.49,17.44,1835,1480,1477,1152
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_245.cnf,SAT,SAT,18.23,210720.42,0.09,210700.70,18.14,19.72,3043,1924,2250,1295
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_320.cnf,SAT,SAT,16.28,172130.16,0.06,172110.80,16.22,19.36,1444,1433,1251,1212
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m435_b90/CBS_k3_n100_m435_b90_359.cnf,SAT,SAT,16.22,157131.00,0.04,157110.52,16.18,20.48,1256,1436,1021,1180
